epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.284,0.54278,3.37061,0.00552,0.85435,0.89811,0.93103,0.8611,0.40132,0.9491,0.00515,0.000297059,0.000297059,0.000297059
2,174.822,0.52708,1.16849,0.00531,0.95189,0.93939,0.98767,0.93607,0.33418,0.34445,0.00443,0.000585207,0.000585207,0.000585207
3,231.596,0.55362,0.69986,0.00565,0.95349,0.96208,0.98957,0.92568,0.37557,0.24179,0.00481,0.000858357,0.000858357,0.000858357
4,288.261,0.56305,0.56577,0.00573,0.95785,0.96223,0.98825,0.92051,0.3931,0.22363,0.00546,0.000841507,0.000841507,0.000841507
5,344.054,0.54344,0.48784,0.00568,0.9743,0.97094,0.99159,0.95046,0.32684,0.18419,0.00445,0.000819009,0.000819009,0.000819009
6,399.289,0.49375,0.42303,0.00501,0.97612,0.96346,0.99347,0.94726,0.32436,0.17553,0.00434,0.000796511,0.000796511,0.000796511
7,454.362,0.48623,0.39909,0.00491,0.96262,0.9852,0.99262,0.95467,0.31504,0.16922,0.00424,0.000774013,0.000774013,0.000774013
8,509.273,0.47124,0.38459,0.00483,0.97893,0.96288,0.99037,0.94891,0.32399,0.19987,0.00435,0.000751516,0.000751516,0.000751516
9,564.737,0.48071,0.36722,0.00489,0.97325,0.96891,0.99118,0.94997,0.31953,0.18789,0.00427,0.000729018,0.000729018,0.000729018
10,620.207,0.47405,0.33442,0.00484,0.98725,0.97313,0.99403,0.94428,0.34746,0.16694,0.00478,0.00070652,0.00070652,0.00070652
11,674.386,0.46632,0.33524,0.00482,0.9888,0.97121,0.99353,0.9668,0.27318,0.13498,0.00365,0.000684022,0.000684022,0.000684022
12,730.465,0.45615,0.32704,0.00465,0.98643,0.98434,0.99415,0.97453,0.26038,0.12921,0.00357,0.000661525,0.000661525,0.000661525
13,785.574,0.42155,0.30893,0.00432,0.97383,0.97738,0.99289,0.96231,0.28407,0.14559,0.00372,0.000639027,0.000639027,0.000639027
14,839.872,0.40944,0.28293,0.0041,0.97812,0.98369,0.99339,0.97006,0.28023,0.13655,0.00387,0.000616529,0.000616529,0.000616529
15,895.095,0.42624,0.28843,0.00429,0.9744,0.99055,0.99398,0.96704,0.26858,0.14062,0.00349,0.000594031,0.000594031,0.000594031
16,950.337,0.41699,0.27388,0.00424,0.98809,0.98977,0.9943,0.97374,0.24704,0.11226,0.00325,0.000571534,0.000571534,0.000571534
17,1004.7,0.41103,0.26356,0.00419,0.99017,0.98215,0.99407,0.9713,0.26017,0.1144,0.00348,0.000549036,0.000549036,0.000549036
18,1059.68,0.37933,0.246,0.00376,0.98852,0.97778,0.99357,0.97679,0.24283,0.11605,0.00319,0.000526538,0.000526538,0.000526538
19,1114.15,0.38353,0.23109,0.00383,0.98983,0.99018,0.99403,0.97476,0.24704,0.11102,0.00326,0.00050404,0.00050404,0.00050404
20,1169.14,0.38216,0.23395,0.00387,0.99298,0.9879,0.99421,0.98103,0.22258,0.10022,0.00296,0.000481543,0.000481543,0.000481543
21,1225.24,0.38339,0.22704,0.00386,0.99,0.99304,0.99438,0.97926,0.22098,0.09998,0.00283,0.000459045,0.000459045,0.000459045
22,1279.58,0.35456,0.21285,0.00356,0.99004,0.98917,0.99451,0.98239,0.21646,0.10394,0.00287,0.000436547,0.000436547,0.000436547
23,1336.06,0.36183,0.22429,0.00352,0.98723,0.992,0.99434,0.98425,0.20886,0.09734,0.00279,0.000414049,0.000414049,0.000414049
24,1392.73,0.35863,0.21923,0.00361,0.99178,0.98878,0.99464,0.98459,0.21493,0.10112,0.00285,0.000391552,0.000391552,0.000391552
25,1450.13,0.34799,0.2024,0.00345,0.98683,0.98976,0.99469,0.98178,0.21569,0.10117,0.0028,0.000369054,0.000369054,0.000369054
26,1504.99,0.34945,0.19638,0.00344,0.99285,0.98758,0.99482,0.98115,0.21612,0.09549,0.00279,0.000346556,0.000346556,0.000346556
27,1560.01,0.34807,0.19695,0.00345,0.99404,0.98486,0.99463,0.98665,0.20658,0.10541,0.0027,0.000324058,0.000324058,0.000324058
28,1614.78,0.33643,0.19424,0.00336,0.99077,0.99076,0.99464,0.98272,0.22315,0.09495,0.00297,0.000301561,0.000301561,0.000301561
29,1670.31,0.3328,0.19311,0.00331,0.98635,0.99416,0.99463,0.9827,0.21058,0.09677,0.00272,0.000279063,0.000279063,0.000279063
30,1726.26,0.31714,0.17771,0.00308,0.98948,0.99354,0.9947,0.98439,0.2013,0.09207,0.00264,0.000256565,0.000256565,0.000256565
31,1788.54,0.22775,0.11866,0.00273,0.99122,0.98647,0.99468,0.98537,0.2103,0.0907,0.00273,0.000234068,0.000234068,0.000234068
32,1844,0.2218,0.11116,0.0027,0.98889,0.98621,0.99475,0.98798,0.18824,0.10453,0.00245,0.00021157,0.00021157,0.00021157
33,1901.14,0.21547,0.10713,0.00268,0.98675,0.99125,0.9948,0.9868,0.20313,0.09743,0.00271,0.000189072,0.000189072,0.000189072
34,1956.54,0.21591,0.10493,0.00265,0.99076,0.99085,0.99476,0.98828,0.18417,0.08446,0.00239,0.000166574,0.000166574,0.000166574
35,2010.81,0.20943,0.10125,0.00255,0.98821,0.993,0.9948,0.98873,0.18744,0.10778,0.00243,0.000144077,0.000144077,0.000144077
36,2066.06,0.20188,0.10214,0.00245,0.99268,0.99378,0.99491,0.98916,0.1734,0.10108,0.00225,0.000121579,0.000121579,0.000121579
37,2122.47,0.1937,0.09347,0.00234,0.99348,0.99115,0.9949,0.98928,0.18331,0.0762,0.00243,9.9081e-05,9.9081e-05,9.9081e-05
38,2177.48,0.19415,0.09457,0.00231,0.99024,0.99037,0.99484,0.9889,0.17456,0.07703,0.00224,7.65832e-05,7.65832e-05,7.65832e-05
39,2231.61,0.18516,0.08823,0.00217,0.99283,0.98978,0.99483,0.98887,0.17316,0.07635,0.00222,5.40855e-05,5.40855e-05,5.40855e-05
40,2286.28,0.18284,0.08494,0.00213,0.99135,0.99087,0.9947,0.98936,0.16528,0.07567,0.00213,3.15878e-05,3.15878e-05,3.15878e-05
